Bertalan Benjamin Péter	ExxonMobil Corporation	444402362	Bert@Exxo.com	
Algács Kira	Wal-Mart Stores, Inc.	490898358	Algá@Wal-.com	
Bősze Renáta Nikolett	Royal Dutch Shell plc	538421870	Bősz@Roya.com	
Czeczon Soma	British Petroleum	268700464	Czec@Brit.com	
Császár Virgínia	Toyota Motor Corporation	651174051	Csás@Toyo.com	
Fehér Bence	Total S.A.	205505547	Fehé@Tota.com	
Gyenese Zalán	Chevron Corporation	570677436	Gyen@Chev.com	
Homonyik Cintia	Saudi Aramco	696884594	Homo@Saud.com	
Horváth Máté	ING Group N.V.	232225935	Horv@ING .com	
Juhász Ivett	ConocoPhillips	324679557	Juhá@Cono.com	
Katona Ádám	General Motors Corporation	387738545	Kato@Gene.com	
Kiss Bence Krisztián	Samsung Group	576684067	Kiss@Sams.com	
Kovács Dzsenifer Aranka	Ford Motor Company	415299701	Ková@Ford.com	
Magyar Alex Norbert	General Electric	264999026	Magy@Gene.com	
Merényi Dániel András	Volkswagen AG	569525409	Meré@Volk.com	
Molnár Viktor	Daimler AG	212973574	Moln@Daim.com	
Nyári Kevin	Dexia	228883053	Nyár@Dexi.com	
Nyári Szilvia	AXA Group	239699569	Nyár@AXA .com	
Salamon Richárd	Carrefour SA	513414475	Sala@Carr.com	
Szabó Brigitta	Sinopec	675279362	Szab@Sino.com	
Szalay Boglárka	ExxonMobil Corporation	562173089	Szal@Exxo.com	
Szász Gergő Tamás	Wal-Mart Stores, Inc.	656894161	Szás@Wal-.com	
Tibold Martin	Royal Dutch Shell plc	399044746	Tibo@Roya.com	
Tóth Bianka	British Petroleum	701991263	Tóth@Brit.com	
Tóth Dzsenifer	Toyota Motor Corporation	591168030	Tóth@Toyo.com	
Váczi Szabó Dominik	Total S.A.	484707335	Vácz@Tota.com	
Vertetics Liliána	Chevron Corporation	216386421	Vert@Chev.com	
Kövecses Balázs	Saudi Aramco	238876310	Köve@Saud.com	
Bendl Árpád	ING Group N.V.	401549165	Bend@ING .com	
Bognár Kinga	ConocoPhillips	371783799	Bogn@Cono.com	
Czakó Ronaldó Márk	General Motors Corporation	336889951	Czak@Gene.com	
Csete Dominika	Samsung Group	281911842	Cset@Sams.com	
Dávid Dorina Diána	Ford Motor Company	293581947	Dávi@Ford.com	
Gallov Gábor Gyula	General Electric	502011250	Gall@Gene.com	
Gujdi Rebeka	Volkswagen AG	378383329	Gujd@Volk.com	
Halász Viktória	Daimler AG	251813712	Halá@Daim.com	
Horváth Vivien Anna	Dexia	367101001	Horv@Dexi.com	
Horváth Zsófia Fanni	AXA Group	387095961	Horv@AXA .com	
Kasza Bettina Gréta	Carrefour SA	680640451	Kasz@Carr.com	
Kökény Róbert	Sinopec	319876986	Köké@Sino.com	
László Debóra Vanessza	ExxonMobil Corporation	455681876	Lász@Exxo.com	
Ludman Márkó	Wal-Mart Stores, Inc.	400903756	Ludm@Wal-.com	
Mészáros Márk Ákos	Royal Dutch Shell plc	431320021	Mész@Roya.com	
Nagy Alexa	British Petroleum	458775567	Nagy@Brit.com	
Nagy Dóra	Toyota Motor Corporation	388907821	Nagy@Toyo.com	
Orosz Barbara	Total S.A.	211445834	Oros@Tota.com	
Palatitz Dániel Zoltán	Chevron Corporation	271836627	Pala@Chev.com	
Posch Kristóf	Saudi Aramco	385213355	Posc@Saud.com	
Rehák Márton	ING Group N.V.	303411732	Rehá@ING .com	
Schvarcz Martin György	ConocoPhillips	480845294	Schv@Cono.com	
Sós László	General Motors Corporation	466806897	Sós @Gene.com	
Stark Krisztián	Samsung Group	481368098	Star@Sams.com	
Takács Zoltán József	Ford Motor Company	441536175	Taká@Ford.com	
Váradi Gergő	General Electric	393087644	Vára@Gene.com	
Villám Dávid	Volkswagen AG	624964490	Vill@Volk.com	
Lukács Georgina	Daimler AG	678466839	Luká@Daim.com	
Babos Eszter	Dexia	404670586	Babo@Dexi.com	
Alföldi Bálint	AXA Group	683242623	Alfö@AXA .com	 
Bagó Róbert Márk	Carrefour SA	474133048	Bagó@Carr.com	 
Bata Anasztázia	Sinopec	691059290	Bata@Sino.com	 
Bognár Eszter	ExxonMobil Corporation	576128856	Bogn@Exxo.com	 
Érsek Anikó	Wal-Mart Stores, Inc.	267314205	Érse@Wal-.com	 
Fuli Nóra	Royal Dutch Shell plc	385673679	Fuli@Roya.com	 
Futó Vanessza Izabella	British Petroleum	300953013	Futó@Brit.com	 
Germuska Bence	Toyota Motor Corporation	325738433	Germ@Toyo.com	 
Jáger Mátyás	Total S.A.	585254807	Jáge@Tota.com	 
Kakucs Jácint	Chevron Corporation	252270494	Kaku@Chev.com	 
Kiss Dorina	Saudi Aramco	231232374	Kiss@Saud.com	 
Kiss Virág Dorina	ING Group N.V.	289340890	Kiss@ING .com	 
Knauz Gabriella Mária	ConocoPhillips	297443635	Knau@Cono.com	 
Lőre Dominika	General Motors Corporation	271761480	Lőre@Gene.com	 
Molnár Dávid József	Samsung Group	300435103	Moln@Sams.com	 
Nagy Petra Gabriella	Ford Motor Company	463353691	Nagy@Ford.com	 
Novák Patrik Viktor	General Electric	227892583	Nová@Gene.com	 
Péter Vanessza Csenge	Volkswagen AG	576124335	Péte@Volk.com	 
Polczer András	Daimler AG	221663351	Polc@Daim.com	 
Sályi Bence	Dexia	203694937	Sály@Dexi.com	 
Szalai Szilárd	AXA Group	332711162	Szal@AXA .com	 
Szelle Mirjam Annamária	Carrefour SA	225130577	Szel@Carr.com	 
Szémann Virág	Sinopec	635169596	Szém@Sino.com	 
Taufer Réka	ExxonMobil Corporation	623909933	Tauf@Exxo.com	 
Turcsányi Bettina Mónika	Wal-Mart Stores, Inc.	520998417	Turc@Wal-.com	 
Varga Dániel	Royal Dutch Shell plc	491604789	Varg@Roya.com	 
Vidovics Richárd Ferenc	British Petroleum	532984080	Vido@Brit.com	 
Weiszmann Nikole	Toyota Motor Corporation	450625673	Weis@Toyo.com	 
Zemann Melissza	Total S.A.	521290807	Zema@Tota.com	 
Bajkó Dominika Erzsébet	Chevron Corporation	222739854	Bajk@Chev.com	
Balás Roland	Saudi Aramco	636359648	Balá@Saud.com	
Balogh Enikő Kitti	ING Group N.V.	585131508	Balo@ING .com	
Bogdán Réka Anna	ConocoPhillips	430309129	Bogd@Cono.com	
Burián Marcell	General Motors Corporation	302078057	Buri@Gene.com	
Burkus Gergő Dominik	Samsung Group	559108503	Burk@Sams.com	
Czinzer Levente	Ford Motor Company	454181013	Czin@Ford.com	
Dubik Laura	General Electric	212413769	Dubi@Gene.com	
Gyöngyösi Dániel	Volkswagen AG	330040062	Gyön@Volk.com	
Hóbor Kristóf Tamás	Daimler AG	434297903	Hóbo@Daim.com	
Hoffman Cintia	Dexia	703130200	Hoff@Dexi.com	
Horváth Botond András	AXA Group	413893578	Horv@AXA .com	
Horváth Petronella	Carrefour SA	267365149	Horv@Carr.com	
Kállai Lívia	Sinopec	340378873	Káll@Sino.com	
Kovács Vivien	ExxonMobil Corporation	428588352	Ková@Exxo.com	
Kőszegi Virág	Wal-Mart Stores, Inc.	428484559	Kősz@Wal-.com	
Ludmann Ferenc	Royal Dutch Shell plc	225193475	Ludm@Roya.com	
Neuschel Áron	British Petroleum	670305037	Neus@Brit.com	
Ördög Szilveszter	Toyota Motor Corporation	284570187	Ördö@Toyo.com	
Papp Gergő Tivadar	Total S.A.	515774474	Papp@Tota.com	
Pej Dávid	Chevron Corporation	485324578	Pej @Chev.com	
Ruszó Evelin	Saudi Aramco	438992975	Rusz@Saud.com	
Sági Patrik	ING Group N.V.	507774476	Sági@ING .com	
Sárkány Mirtill Johanna	ConocoPhillips	206861733	Sárk@Cono.com	
Selmeczi Hajnal Csillag	General Motors Corporation	656232732	Selm@Gene.com	
Szabó Cintia	Samsung Group	692890978	Szab@Sams.com	
Szabó Kitti	Ford Motor Company	690231179	Szab@Ford.com	
Tokos László	General Electric	578760181	Toko@Gene.com	
Varga Kata Bianka	Volkswagen AG	420671577	Varg@Volk.com	
